week_start_date,labor_hours,restaurant
2023-01-02,1332,Washington Cafe
2023-01-09,1336,Washington Cafe
2023-01-16,1336,Washington Cafe
2023-01-23,1299,Washington Cafe
2023-01-30,1375,Washington Cafe
2023-02-06,1341,Washington Cafe
2023-02-13,1426,Washington Cafe
2023-02-20,1345,Washington Cafe
2023-02-27,1404,Washington Cafe
2023-03-06,1423,Washington Cafe
2023-03-13,1384,Washington Cafe
2023-03-20,1520,Washington Cafe
2023-03-27,1523,Washington Cafe
2023-04-03,1460,Washington Cafe
2023-04-10,1523,Washington Cafe
2023-04-17,1521,Washington Cafe
2023-04-24,1415,Washington Cafe
2023-05-01,1543,Washington Cafe
2023-05-08,1545,Washington Cafe
2023-05-15,1564,Washington Cafe
2023-05-22,1531,Washington Cafe
2023-05-29,1577,Washington Cafe
2023-06-05,1595,Washington Cafe
2023-06-12,1663,Washington Cafe
2023-06-19,1643,Washington Cafe
2023-06-26,1643,Washington Cafe
2023-07-03,1718,Washington Cafe
2023-07-10,1648,Washington Cafe
2023-07-17,1669,Washington Cafe
2023-07-24,1625,Washington Cafe
2023-07-31,1775,Washington Cafe
2023-08-07,1764,Washington Cafe
2023-08-14,1776,Washington Cafe
2023-08-21,1780,Washington Cafe
2023-08-28,1771,Washington Cafe
2023-09-04,1789,Washington Cafe
2023-09-11,1784,Washington Cafe
2023-09-18,1800,Washington Cafe
2023-09-25,1824,Washington Cafe
2023-10-02,1896,Washington Cafe
2023-10-09,1871,Washington Cafe
2023-10-16,1860,Washington Cafe
2023-10-23,1853,Washington Cafe
2023-10-30,1865,Washington Cafe
2023-11-06,1968,Washington Cafe
2023-11-13,1938,Washington Cafe
2023-11-20,1934,Washington Cafe
2023-11-27,1931,Washington Cafe
2023-12-04,1914,Washington Cafe
2023-12-11,1970,Washington Cafe
2023-12-18,2021,Washington Cafe
2023-12-25,1984,Washington Cafe
