week_start_date,labor_hours,restaurant
2024-01-01,1904,Washington Cafe
2024-01-08,1910,Washington Cafe
2024-01-15,1892,Washington Cafe
2024-01-22,1931,Washington Cafe
2024-01-29,1809,Washington Cafe
2024-02-05,1913,Washington Cafe
2024-02-12,1859,Washington Cafe
2024-02-19,1952,Washington Cafe
2024-02-26,1948,Washington Cafe
2024-03-04,1968,Washington Cafe
2024-03-11,1933,Washington Cafe
2024-03-18,1889,Washington Cafe
2024-03-25,1944,Washington Cafe
2024-04-01,1988,Washington Cafe
2024-04-08,1880,Washington Cafe
2024-04-15,1964,Washington Cafe
2024-04-22,1946,Washington Cafe
2024-04-29,2048,Washington Cafe
2024-05-06,1946,Washington Cafe
2024-05-13,2001,Washington Cafe
2024-05-20,2066,Washington Cafe
2024-05-27,2091,Washington Cafe
2024-06-03,2019,Washington Cafe
2024-06-10,2163,Washington Cafe
2024-06-17,2172,Washington Cafe
2024-06-24,2201,Washington Cafe
2024-07-01,2241,Washington Cafe
2024-07-08,2298,Washington Cafe
2024-07-15,2222,Washington Cafe
2024-07-22,2442,Washington Cafe
2024-07-29,2343,Washington Cafe
2024-08-05,2300,Washington Cafe
2024-08-12,2449,Washington Cafe
2024-08-19,2562,Washington Cafe
2024-08-26,2479,Washington Cafe
2024-09-02,2617,Washington Cafe
2024-09-09,2637,Washington Cafe
2024-09-16,2522,Washington Cafe
2024-09-23,2448,Washington Cafe
2024-09-30,2527,Washington Cafe
2024-10-07,2668,Washington Cafe
2024-10-14,2563,Washington Cafe
2024-10-21,2526,Washington Cafe
2024-10-28,2535,Washington Cafe
2024-11-04,2604,Washington Cafe
2024-11-11,2596,Washington Cafe
2024-11-18,2636,Washington Cafe
2024-11-25,2631,Washington Cafe
2024-12-02,2513,Washington Cafe
2024-12-09,2541,Washington Cafe
2024-12-16,2471,Washington Cafe
2024-12-23,2521,Washington Cafe
2024-12-30,2437,Washington Cafe
2025-01-06,2417,Washington Cafe
2025-01-13,2583,Washington Cafe
2025-01-20,2453,Washington Cafe
2025-01-27,2472,Washington Cafe
2025-02-03,2563,Washington Cafe
2025-02-10,2455,Washington Cafe
2025-02-17,2396,Washington Cafe
2025-02-24,2399,Washington Cafe
2025-03-03,2351,Washington Cafe
2025-03-10,2451,Washington Cafe
2025-03-17,2374,Washington Cafe
2025-03-24,2494,Washington Cafe
2025-03-31,2386,Washington Cafe
2025-04-07,2397,Washington Cafe
2025-04-14,2408,Washington Cafe
2025-04-21,2483,Washington Cafe
2025-04-28,2479,Washington Cafe
2025-05-05,2567,Washington Cafe
2025-05-12,2488,Washington Cafe
2025-05-19,2562,Washington Cafe
2025-05-26,2684,Washington Cafe
2025-06-02,2596,Washington Cafe
2025-06-09,2672,Washington Cafe
2025-06-16,2765,Washington Cafe
2025-06-23,2744,Washington Cafe
2025-06-30,2715,Washington Cafe
2025-07-07,2673,Washington Cafe
2025-07-14,2954,Washington Cafe
2025-07-21,2881,Washington Cafe
2025-07-28,2960,Washington Cafe
2025-08-04,2897,Washington Cafe
2025-08-11,3054,Washington Cafe
2025-08-18,3011,Washington Cafe
2025-08-25,3011,Washington Cafe
2025-09-01,2982,Washington Cafe
2025-09-08,3072,Washington Cafe
2025-09-15,3043,Washington Cafe
2025-09-22,3072,Washington Cafe
2025-09-29,3006,Washington Cafe
2025-10-06,3076,Washington Cafe
